SpatialDimValueCode,Location,Period,Sanitation,GdpPerCapita,PositiveCoef,NegativeCoef,ImmunizationMean,SmoothingLifeExpectancy,Reg_AFR,Reg_EUR
AFG,Afghanistan,2021,54.35773988653177,509.8196592635923,0.7878318662326322,0.8725892250838388,61.287843223602536,60.50126810616724,0.0,0.0
AFG,Afghanistan,2022,56.04484050866547,512.0042686611696,0.7878318662326322,0.8725892250838388,60.22271485569592,60.39957682588735,0.0,0.0
AFG,Afghanistan,2023,57.72350562768851,513.794196619995,0.7878318662326322,0.8725892250838388,59.37061216137063,60.311458583699405,0.0,0.0
AGO,Angola,2021,52.225952833695615,1244.502606984814,0.8432366536253859,0.8740807547535856,47.48820493463647,62.838935808333574,1.0,0.0
AGO,Angola,2022,52.68132108711597,997.910059345842,0.8432366536253859,0.8740807547535856,45.74781950065778,63.01174363902656,1.0,0.0
AGO,Angola,2023,53.11901620046175,800.6360212346644,0.8432366536253859,0.8740807547535856,44.35551115347484,63.17730210735161,1.0,0.0
ALB,Albania,2021,99.54562959040243,5496.32725135113,0.8420430512772651,0.7256114852597649,95.30247941901193,76.26760899948538,0.0,1.0
ALB,Albania,2022,99.75083307431349,5554.315352449431,0.8420430512772651,0.7256114852597649,94.77796282537253,75.88695992739098,0.0,1.0
ALB,Albania,2023,99.94949551223753,5600.705833328072,0.8420430512772651,0.7256114852597649,94.35834955046101,75.58244066971545,0.0,1.0
ARE,United Arab Emirates,2021,99.09901545319259,35354.88101430386,0.88829020599198,0.7162888664834551,87.90435200757047,79.9803364502934,0.0,0.0
ARE,United Arab Emirates,2022,99.09835361513416,32438.284837927175,0.88829020599198,0.7162888664834551,85.50114674626799,79.6920478840769,0.0,0.0
ARE,United Arab Emirates,2023,99.0976984821436,29550.854623314262,0.88829020599198,0.7162888664834551,83.54520055620237,79.4614170311037,0.0,0.0
ARG,Argentina,2021,87.98726028238757,7579.236047888942,0.9043472550133116,0.766349417298875,72.36114199993696,76.15908548826526,0.0,0.0
ARG,Argentina,2022,88.26510973503312,6740.093384669741,0.9043472550133116,0.766349417298875,69.2775178264725,75.99208449056408,0.0,0.0
ARG,Argentina,2023,88.48738929714956,6068.779254094379,0.9043472550133116,0.766349417298875,66.81061848770071,75.85848369240314,0.0,0.0
ARM,Armenia,2021,94.09830669784341,4385.599099576678,0.8157398603857736,0.6485638804953802,89.56117577063635,68.22723406660563,0.0,1.0
ARM,Armenia,2022,94.23252801802701,4414.141266047326,0.8157398603857736,0.6485638804953802,88.59842988439712,66.55861811942877,0.0,1.0
ARM,Armenia,2023,94.36254678161538,4439.995591565751,0.8157398603857736,0.6485638804953802,87.82823317538958,65.22372536168729,0.0,1.0
ATG,Antigua and Barbuda,2021,97.40113757234258,15022.891326694064,0.8755830090530108,0.7427428633166346,93.13383131401017,77.99601754042247,0.0,0.0
ATG,Antigua and Barbuda,2022,97.4017979644816,14268.886599748872,0.8755830090530108,0.7427428633166346,92.81926837007684,78.53659380113928,0.0,0.0
ATG,Antigua and Barbuda,2023,97.40232627819286,13665.682818192718,0.8755830090530108,0.7427428633166346,92.56761801493018,78.96905480971272,0.0,0.0
AUS,Australia,2021,99.99999956594893,50862.987322871835,0.9702004379697255,0.7025185511551569,94.29686188977855,83.47854248630061,0.0,0.0
AUS,Australia,2022,99.99999925812827,49414.03241275165,0.9702004379697255,0.7025185511551569,94.21739533577703,83.65665791554508,0.0,0.0
AUS,Australia,2023,99.9999989534131,47979.567051732665,0.9702004379697255,0.7025185511551569,94.1538220925758,83.80576216970732,0.0,0.0
AUT,Austria,2021,99.96960588740903,48936.76085954598,0.9656248816798667,0.7634135623254482,87.96570747045004,81.04605323054741,0.0,1.0
AUT,Austria,2022,99.96936075902417,48787.708343528895,0.9656248816798667,0.7634135623254482,87.77150036422421,80.93571888887382,0.0,1.0
AUT,Austria,2023,99.969118135818,48640.14635267198,0.9656248816798667,0.7634135623254482,87.61613467921576,80.84745141553495,0.0,1.0
AZE,Azerbaijan,2021,97.42062331542145,4146.493701350692,0.7960510698212112,0.6444733422840432,78.51105921685635,70.8547854119955,0.0,1.0
AZE,Azerbaijan,2022,97.70312410870395,3974.22599205385,0.7960510698212112,0.6444733422840432,73.42635671737472,69.82773613214472,0.0,1.0
AZE,Azerbaijan,2023,97.97275847742705,3803.006941414845,0.7960510698212112,0.6444733422840432,68.7592436677263,69.00609670826411,0.0,1.0
BDI,Burundi,2021,45.71131875064149,204.61284543016788,0.7657917278633073,0.8928746987116893,92.35821066031315,64.85955738814275,1.0,0.0
BDI,Burundi,2022,45.69636961817336,201.11392456830498,0.7657917278633073,0.8928746987116893,92.5723808357625,65.10381401336645,1.0,0.0
BDI,Burundi,2023,45.68441031219885,198.31478787881466,0.7657917278633073,0.8928746987116893,92.743716976122,65.33056143455535,1.0,0.0
BEL,Belgium,2021,99.4900000002182,46293.51859158952,0.9645110887992201,0.731823608469859,96.91233663592384,80.72706938225379,0.0,1.0
BEL,Belgium,2022,99.49000000058135,46369.37670044603,0.9645110887992201,0.731823608469859,96.85348838082031,80.57113051606791,0.0,1.0
BEL,Belgium,2023,99.49000000094082,46444.47622821398,0.9645110887992201,0.731823608469859,96.80640977673747,80.4463794231192,0.0,1.0
BEN,Benin,2021,19.888797520997148,1218.519355615493,0.7623892400147877,0.8479942603149802,62.304191623174596,64.73987884132771,1.0,0.0
BEN,Benin,2022,20.509234992460847,1240.6949703806217,0.7623892400147877,0.8479942603149802,61.03281772819129,65.06011903885043,1.0,0.0
BEN,Benin,2023,21.126570276567225,1258.4354621928107,0.7623892400147877,0.8479942603149802,60.01571861214279,65.37632217640684,1.0,0.0
BFA,Burkina Faso,2021,23.8234274555752,844.1551616279594,0.7518209766041757,0.8848136451886617,90.00116353745703,63.26590586606497,1.0,0.0
BFA,Burkina Faso,2022,24.317333795859973,864.2604985390973,0.7518209766041757,0.8848136451886617,90.00086922775748,63.58279901559515,1.0,0.0
